17,-49,16
15,-50,17
16,-67,17
21,-82,18
19,-81,14
16,-67,11
18,-60,14
26,-58,15
31,-57,15
34,-57,12
31,-58,13
29,-59,16
30,-60,16
32,-60,16
31,-60,15
33,-73,12
26,-76,11
22,-67,10
22,-59,11
22,-58,10
22,-61,4
21,-66,0
18,-76,-7
17,-75,-8
16,-69,-8
15,-62,-7
15,-60,-8
15,-56,-7
16,-56,-5
14,-53,-5
14,-52,-4
18,-55,-1
19,-58,-2
25,-63,1
26,-57,6
26,-50,13
28,-50,16
28,-55,19
25,-59,21
21,-61,21
11,-59,20
10,-57,21
14,-55,21
19,-57,20
24,-62,30
29,-63,32
36,-60,24
29,-56,17
16,-51,7
14,-49,6
15,-50,8
15,-51,9
16,-52,9
17,-56,12
18,-59,12
17,-63,10
16,-66,9
16,-70,11
17,-67,12
18,-63,7
20,-61,3
22,-61,2
23,-60,0
23,-59,0
25,-56,1
28,-54,2
28,-53,0
27,-54,0
24,-58,0
24,-60,-1
23,-62,-1
24,-62,1
24,-61,2
24,-59,4
24,-59,4
22,-60,5
21,-60,6
18,-60,6
17,-59,6
17,-60,5
17,-64,5
18,-67,6
17,-59,7
17,-56,8
17,-56,9
16,-58,9
13,-59,7
11,-59,5
11,-59,5
12,-61,5
16,-59,8
19,-58,10
22,-62,10
19,-59,11
18,-57,13
15,-52,13
14,-51,14
18,-50,16
19,-50,16
21,-51,13
21,-54,12
22,-64,10
22,-65,9
22,-63,8
21,-62,7
19,-60,7
20,-59,6
20,-59,6
20,-57,6
21,-57,6
22,-57,5
23,-56,5
26,-56,4
27,-56,4
28,-56,4
28,-56,4
29,-55,4
29,-56,4
28,-56,4
27,-56,3
27,-56,3
27,-56,2
27,-56,3
27,-56,3
28,-56,2
28,-55,3
28,-55,3
28,-56,3
28,-56,2
28,-56,2
29,-55,2
29,-55,2
28,-55,2
28,-56,2
26,-56,2
26,-56,2
25,-57,3
25,-57,3
25,-56,4
26,-56,4
27,-56,4
28,-56,4
28,-56,4
27,-56,3
27,-56,3
26,-56,3
26,-56,3
26,-56,4
25,-56,4
26,-56,4
26,-57,4
26,-56,5
26,-56,4
26,-56,4
26,-56,4
26,-56,4
26,-56,4
27,-56,3
27,-56,3
27,-55,3
27,-55,3
27,-55,4
27,-55,4
27,-55,4
28,-56,4
27,-56,4
27,-56,3
27,-56,3
27,-56,3
27,-56,3
27,-56,3
27,-55,3
27,-55,3
27,-55,3
27,-56,3
27,-56,3
27,-56,3
27,-56,3
27,-56,3
27,-56,3
27,-55,3
26,-55,3
26,-55,3
26,-56,3
26,-56,2
27,-56,3
27,-56,3
28,-56,3
30,-56,4
32,-56,3
31,-55,3
31,-55,3
31,-55,3
30,-54,3
28,-54,3
28,-54,4
27,-55,4
26,-54,4
29,-55,5
31,-54,5
33,-54,5
34,-54,5
38,-55,6
40,-56,7
41,-54,6
43,-53,7
45,-53,7
50,-53,6
54,-53,5
61,-55,1
61,-53,1
63,-45,0
64,-39,1
61,-29,0
57,-24,-2
56,-13,-2
55,-11,0
50,-3,-2
46,4,-7
47,6,-8
41,12,-5
45,15,-4
50,14,-6
45,16,-7
49,17,-12
48,18,-13
47,21,-15
59,23,-9
58,23,-4
56,25,-9
55,26,-11
52,25,-12
52,24,-15
57,25,-17
59,26,-18
52,27,-15
49,28,-14
53,29,-12
57,26,-9
58,27,-7
49,27,-10
54,27,-6
58,27,-4
56,27,-5
58,28,-5
54,29,-6
57,29,-1
59,28,0
54,28,0
54,30,-4
55,30,-6
53,30,-3
53,29,-1
54,28,2
56,28,3
59,28,2
54,29,0
55,28,2
55,28,0
53,29,0
53,28,2
55,29,3
57,29,3
55,29,2
53,30,3
53,29,3
52,29,2
53,30,3
54,31,3
55,31,3
54,31,3
54,31,3
54,31,3
55,30,3
55,30,4
55,31,2
55,31,3
54,31,3
54,31,3
53,30,3
53,30,4
53,30,3
54,30,3
54,30,3
54,30,4
54,30,4
54,31,4
54,31,4
54,31,3
54,30,3
53,30,4
54,30,4
53,30,4
53,30,4
54,30,4
55,30,4
54,30,4
54,30,5
55,31,4
54,30,3
53,30,3
54,30,4
53,30,4
54,30,4
54,30,4
54,30,4
